,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,1,2336,0,2,0.8,124,10,back_to_front,1168.5,True,0.0
124,12,2417,0,2,0.8,125,10,back_to_front,1209.0,True,0.0
249,0,2906,0,2,0.8,124,0,back_to_front,1453.5,True,0.0
373,11,2704,0,2,0.8,125,0,back_to_front,1352.5,True,0.0
498,13,2718,0,2,0.8,125,20,back_to_front,1359.5,True,0.0
623,2,2950,0,2,0.8,124,20,back_to_front,1475.5,True,0.0
747,3,2922,0,2,0.8,124,30,back_to_front,1461.5,True,0.0
871,4,3017,0,2,0.8,124,40,back_to_front,1509.0,True,0.0
995,14,2850,0,2,0.8,125,30,back_to_front,1425.5,True,0.0
1120,15,3110,0,2,0.8,125,40,back_to_front,1555.5,True,0.0
1245,5,3230,0,2,0.8,124,50,back_to_front,1615.5,True,0.0
1369,6,4013,0,2,0.8,124,60,back_to_front,2007.0,True,0.0
1493,7,4396,0,2,0.8,124,70,back_to_front,2198.5,True,0.0
1617,8,4967,0,2,0.8,124,80,back_to_front,2484.0,True,0.0
1741,23,2302,0,2,0.8,126,10,back_to_front,1151.5,True,0.0
1867,24,2714,0,2,0.8,126,20,back_to_front,1357.5,True,0.0
1993,22,2829,0,2,0.8,126,0,back_to_front,1415.0,True,0.0
2119,16,3551,0,2,0.8,125,50,back_to_front,1776.0,True,0.0
2244,9,5874,0,2,0.8,124,90,back_to_front,2937.5,True,0.0
2368,25,3088,0,2,0.8,126,30,back_to_front,1544.5,True,0.0
2494,10,6274,0,2,0.8,124,100,back_to_front,3137.5,True,0.0
2618,26,3091,0,2,0.8,126,40,back_to_front,1546.0,True,0.0
2744,17,4149,0,2,0.8,125,60,back_to_front,2075.0,True,0.0
2869,18,4515,0,2,0.8,125,70,back_to_front,2258.0,True,0.0
2994,27,3640,0,2,0.8,126,50,back_to_front,1820.5,True,0.0
3120,19,5345,0,2,0.8,125,80,back_to_front,2673.0,True,0.0
3245,28,3614,0,2,0.8,126,60,back_to_front,1807.5,True,0.0
3371,33,2661,0,2,0.8,127,0,back_to_front,1331.0,True,0.0
3498,20,5827,0,2,0.8,125,90,back_to_front,2914.0,True,0.0
3623,35,2558,0,2,0.8,127,20,back_to_front,1279.5,True,0.0
3750,34,2760,0,2,0.8,127,10,back_to_front,1380.5,True,0.0
3877,21,6312,0,2,0.8,125,100,back_to_front,3156.5,True,0.0
4002,36,3080,0,2,0.8,127,30,back_to_front,1540.5,True,0.0
4129,37,3310,0,2,0.8,127,40,back_to_front,1655.5,True,0.0
4256,29,4691,0,2,0.8,126,70,back_to_front,2346.0,True,0.0
4382,30,5184,0,2,0.8,126,80,back_to_front,2592.5,True,0.0
4508,38,3860,0,2,0.8,127,50,back_to_front,1930.5,True,0.0
4635,39,4018,0,2,0.8,127,60,back_to_front,2009.5,True,0.0
4762,45,2832,0,2,0.8,128,10,back_to_front,1416.5,True,0.0
4890,31,6019,0,2,0.8,126,90,back_to_front,3010.0,True,0.0
5016,44,3445,0,2,0.8,128,0,back_to_front,1723.0,True,0.0
5144,46,3120,0,2,0.8,128,20,back_to_front,1560.5,True,0.0
5272,32,6340,0,2,0.8,126,100,back_to_front,3170.5,True,0.0
5398,47,2986,0,2,0.8,128,30,back_to_front,1493.5,True,0.0
5526,40,4444,0,2,0.8,127,70,back_to_front,2222.5,True,0.0
5653,48,3539,0,2,0.8,128,40,back_to_front,1770.0,True,0.0
5781,41,5157,0,2,0.8,127,80,back_to_front,2579.0,True,0.0
5908,49,3753,0,2,0.8,128,50,back_to_front,1877.0,True,0.0
6036,42,5743,0,2,0.8,127,90,back_to_front,2872.0,True,0.0
6163,50,4073,0,2,0.8,128,60,back_to_front,2037.0,True,0.0
6291,56,2817,0,2,0.8,129,10,back_to_front,1409.0,True,0.0
6420,55,2914,0,2,0.8,129,0,back_to_front,1457.5,True,0.0
6549,43,6356,0,2,0.8,127,100,back_to_front,3178.5,True,0.0
6676,57,3036,0,2,0.8,129,20,back_to_front,1518.5,True,0.0
6805,58,3332,0,2,0.8,129,30,back_to_front,1666.5,True,0.0
6934,51,4968,0,2,0.8,128,70,back_to_front,2484.5,True,0.0
7062,52,5127,0,2,0.8,128,80,back_to_front,2564.0,True,0.0
7190,59,3586,0,2,0.8,129,40,back_to_front,1793.5,True,0.0
7319,60,3624,0,2,0.8,129,50,back_to_front,1812.5,True,0.0
7448,53,6013,0,2,0.8,128,90,back_to_front,3007.0,True,0.0
7576,61,4159,0,2,0.8,129,60,back_to_front,2080.0,True,0.0
7705,66,2754,0,2,0.8,130,0,back_to_front,1377.5,True,0.0
7835,68,2951,0,2,0.8,130,20,back_to_front,1476.0,True,0.0
7965,54,6444,0,2,0.8,128,100,back_to_front,3222.5,True,0.0
8093,62,4484,0,2,0.8,129,70,back_to_front,2242.5,True,0.0
8222,67,3365,0,2,0.8,130,10,back_to_front,1683.0,True,0.0
8352,69,3401,0,2,0.8,130,30,back_to_front,1701.0,True,0.0
8482,70,3314,0,2,0.8,130,40,back_to_front,1657.5,True,0.0
8612,63,5014,0,2,0.8,129,80,back_to_front,2507.5,True,0.0
8741,71,3838,0,2,0.8,130,50,back_to_front,1919.5,True,0.0
8871,64,5510,0,2,0.8,129,90,back_to_front,2755.5,True,0.0
9000,73,4215,0,2,0.8,130,70,back_to_front,2108.0,True,0.0
9130,77,2978,0,2,0.8,131,0,back_to_front,1489.5,True,0.0
9261,72,4666,0,2,0.8,130,60,back_to_front,2333.5,True,0.0
9391,65,6462,0,2,0.8,129,100,back_to_front,3231.5,True,0.0
9520,80,2978,0,2,0.8,131,30,back_to_front,1489.5,True,0.0
9651,79,2973,0,2,0.8,131,20,back_to_front,1487.0,True,0.0
9782,78,3239,0,2,0.8,131,10,back_to_front,1620.0,True,0.0
9913,81,3464,0,2,0.8,131,40,back_to_front,1732.5,True,0.0
10044,74,5411,0,2,0.8,130,80,back_to_front,2706.0,True,0.0
10174,82,3447,0,2,0.8,131,50,back_to_front,1724.0,True,0.0
10305,88,2378,0,2,0.8,132,0,back_to_front,1189.5,True,0.0
10437,83,4281,0,2,0.8,131,60,back_to_front,2141.0,True,0.0
10568,75,5739,0,2,0.8,130,90,back_to_front,2870.0,True,0.0
10698,89,3188,0,2,0.8,132,10,back_to_front,1594.5,True,0.0
10830,84,4888,0,2,0.8,131,70,back_to_front,2444.5,True,0.0
10961,90,3342,0,2,0.8,132,20,back_to_front,1671.5,True,0.0
11093,76,6504,0,2,0.8,130,100,back_to_front,3252.5,True,0.0
11223,91,3105,0,2,0.8,132,30,back_to_front,1553.0,True,0.0
11355,92,3632,0,2,0.8,132,40,back_to_front,1816.5,True,0.0
11487,85,5204,0,2,0.8,131,80,back_to_front,2602.5,True,0.0
11618,93,3970,0,2,0.8,132,50,back_to_front,1985.5,True,0.0
11750,86,5966,0,2,0.8,131,90,back_to_front,2983.5,True,0.0
11881,99,2691,0,2,0.8,133,0,back_to_front,1346.0,True,0.0
12014,94,4444,0,2,0.8,132,60,back_to_front,2222.5,True,0.0
12146,101,3123,0,2,0.8,133,20,back_to_front,1562.0,True,0.0
12279,87,6589,0,2,0.8,131,100,back_to_front,3295.0,True,0.0
12410,95,4950,0,2,0.8,132,70,back_to_front,2475.5,True,0.0
12542,100,3335,0,2,0.8,133,10,back_to_front,1668.0,True,0.0
12675,102,3299,0,2,0.8,133,30,back_to_front,1650.0,True,0.0
12808,103,3391,0,2,0.8,133,40,back_to_front,1696.0,True,0.0
12941,96,5624,0,2,0.8,132,80,back_to_front,2812.5,True,0.0
13073,104,3566,0,2,0.8,133,50,back_to_front,1783.5,True,0.0
13206,97,6082,0,2,0.8,132,90,back_to_front,3041.5,True,0.0
13338,105,4636,0,2,0.8,133,60,back_to_front,2318.5,True,0.0
13471,110,3106,0,2,0.8,134,0,back_to_front,1553.5,True,0.0
13605,98,6785,0,2,0.8,132,100,back_to_front,3393.0,True,0.0
13737,111,3077,0,2,0.8,134,10,back_to_front,1539.0,True,0.0
13871,106,4952,0,2,0.8,133,70,back_to_front,2476.5,True,0.0
14004,112,3217,0,2,0.8,134,20,back_to_front,1609.0,True,0.0
14138,113,3426,0,2,0.8,134,30,back_to_front,1713.5,True,0.0
14272,114,3655,0,2,0.8,134,40,back_to_front,1828.0,True,0.0
14406,107,5403,0,2,0.8,133,80,back_to_front,2702.0,True,0.0
14539,115,3773,0,2,0.8,134,50,back_to_front,1887.0,True,0.0
14673,108,5987,0,2,0.8,133,90,back_to_front,2994.0,True,0.0
14806,116,4302,0,2,0.8,134,60,back_to_front,2151.5,True,0.0
14940,109,6777,0,2,0.8,133,100,back_to_front,3389.0,True,0.0
15073,117,4954,0,2,0.8,134,70,back_to_front,2477.5,True,0.0
15207,121,3443,0,2,0.8,135,0,back_to_front,1722.0,True,0.0
15342,122,3107,0,2,0.8,135,10,back_to_front,1554.0,True,0.0
15477,124,3091,0,2,0.8,135,30,back_to_front,1546.0,True,0.0
15612,123,3415,0,2,0.8,135,20,back_to_front,1708.0,True,0.0
15747,118,5462,0,2,0.8,134,80,back_to_front,2731.5,True,0.0
15881,125,3921,0,2,0.8,135,40,back_to_front,1961.0,True,0.0
16016,126,3873,0,2,0.8,135,50,back_to_front,1937.0,True,0.0
16151,119,6050,0,2,0.8,134,90,back_to_front,3025.5,True,0.0
16285,127,4468,0,2,0.8,135,60,back_to_front,2234.5,True,0.0
16420,132,3093,0,2,0.8,136,0,back_to_front,1547.0,True,0.0
16556,134,3273,0,2,0.8,136,20,back_to_front,1637.0,True,0.0
16692,133,3415,0,2,0.8,136,10,back_to_front,1708.0,True,0.0
16828,135,3422,0,2,0.8,136,30,back_to_front,1711.5,True,0.0
16964,120,6789,0,2,0.8,134,100,back_to_front,3395.0,True,0.0
17098,129,5142,0,2,0.8,135,80,back_to_front,2571.5,True,0.0
17233,128,5210,0,2,0.8,135,70,back_to_front,2605.5,True,0.0
17368,136,3627,0,2,0.8,136,40,back_to_front,1814.0,True,0.0
17504,137,3737,0,2,0.8,136,50,back_to_front,1869.0,True,0.0
17640,138,4439,0,2,0.8,136,60,back_to_front,2220.0,True,0.0
17776,130,6166,0,2,0.8,135,90,back_to_front,3083.5,True,0.0
17911,143,3040,0,2,0.8,137,0,back_to_front,1520.5,True,0.0
18048,131,6841,0,2,0.8,135,100,back_to_front,3421.0,True,0.0
18183,144,3245,0,2,0.8,137,10,back_to_front,1623.0,True,0.0
18320,139,5088,0,2,0.8,136,70,back_to_front,2544.5,True,0.0
18456,145,3607,0,2,0.8,137,20,back_to_front,1804.0,True,0.0
18593,146,3464,0,2,0.8,137,30,back_to_front,1732.5,True,0.0
18730,140,5363,0,2,0.8,136,80,back_to_front,2682.0,True,0.0
18866,147,3639,0,2,0.8,137,40,back_to_front,1820.0,True,0.0
19003,148,4221,0,2,0.8,137,50,back_to_front,2111.0,True,0.0
19140,149,4547,0,2,0.8,137,60,back_to_front,2274.0,True,0.0
19277,141,6464,0,2,0.8,136,90,back_to_front,3232.5,True,0.0
19413,154,2970,0,2,0.8,138,0,back_to_front,1485.5,True,0.0
19551,150,5092,0,2,0.8,137,70,back_to_front,2546.5,True,0.0
19688,142,6873,0,2,0.8,136,100,back_to_front,3437.0,True,0.0
19824,155,3015,0,2,0.8,138,10,back_to_front,1508.0,True,0.0
19962,156,3525,0,2,0.8,138,20,back_to_front,1763.0,True,0.0
20100,151,5882,0,2,0.8,137,80,back_to_front,2941.5,True,0.0
20237,157,3949,0,2,0.8,138,30,back_to_front,1975.0,True,0.0
20375,158,4014,0,2,0.8,138,40,back_to_front,2007.5,True,0.0
20513,159,4237,0,2,0.8,138,50,back_to_front,2119.0,True,0.0
20651,152,6136,0,2,0.8,137,90,back_to_front,3068.5,True,0.0
20788,165,2910,0,2,0.8,139,0,back_to_front,1455.5,True,0.0
20927,160,4684,0,2,0.8,138,60,back_to_front,2342.5,True,0.0
21065,166,2978,0,2,0.8,139,10,back_to_front,1489.5,True,0.0
21204,161,4999,0,2,0.8,138,70,back_to_front,2500.0,True,0.0
21342,153,6888,0,2,0.8,137,100,back_to_front,3444.5,True,0.0
21479,167,3743,0,2,0.8,139,20,back_to_front,1872.0,True,0.0
21618,168,4126,0,2,0.8,139,30,back_to_front,2063.5,True,0.0
21757,162,5847,0,2,0.8,138,80,back_to_front,2924.0,True,0.0
21895,169,3741,0,2,0.8,139,40,back_to_front,1871.0,True,0.0
22034,163,6171,0,2,0.8,138,90,back_to_front,3086.0,True,0.0
22172,170,4522,0,2,0.8,139,50,back_to_front,2261.5,True,0.0
22311,176,3379,0,2,0.8,140,0,back_to_front,1690.0,True,0.0
22451,177,2958,0,2,0.8,140,10,back_to_front,1479.5,True,0.0
22591,164,6920,0,2,0.8,138,100,back_to_front,3460.5,True,0.0
22729,171,4621,0,2,0.8,139,60,back_to_front,2311.0,True,0.0
22868,178,3627,0,2,0.8,140,20,back_to_front,1814.0,True,0.0
23008,179,3805,0,2,0.8,140,30,back_to_front,1903.0,True,0.0
23148,172,5007,0,2,0.8,139,70,back_to_front,2504.0,True,0.0
23287,173,5751,0,2,0.8,139,80,back_to_front,2876.0,True,0.0
23426,180,4074,0,2,0.8,140,40,back_to_front,2037.5,True,0.0
23566,181,3937,0,2,0.8,140,50,back_to_front,1969.0,True,0.0
23706,174,6302,0,2,0.8,139,90,back_to_front,3151.5,True,0.0
23845,187,2900,0,2,0.8,141,0,back_to_front,1450.5,True,0.0
23986,182,4255,0,2,0.8,140,60,back_to_front,2128.0,True,0.0
24126,175,6930,0,2,0.8,139,100,back_to_front,3465.5,True,0.0
24265,183,5091,0,2,0.8,140,70,back_to_front,2546.0,True,0.0
24405,189,3365,0,2,0.8,141,20,back_to_front,1683.0,True,0.0
24546,188,3257,0,2,0.8,141,10,back_to_front,1629.0,True,0.0
24687,190,3772,0,2,0.8,141,30,back_to_front,1886.5,True,0.0
24828,184,5303,0,2,0.8,140,80,back_to_front,2652.0,True,0.0
24968,191,3941,0,2,0.8,141,40,back_to_front,1971.0,True,0.0
25109,192,4020,0,2,0.8,141,50,back_to_front,2010.5,True,0.0
25250,185,6391,0,2,0.8,140,90,back_to_front,3196.0,True,0.0
25390,193,4297,0,2,0.8,141,60,back_to_front,2149.0,True,0.0
25531,186,6958,0,2,0.8,140,100,back_to_front,3479.5,True,0.0
25671,194,4886,0,2,0.8,141,70,back_to_front,2443.5,True,0.0
25812,195,5751,0,2,0.8,141,80,back_to_front,2876.0,True,0.0
25953,196,6420,0,2,0.8,141,90,back_to_front,3210.5,True,0.0
26094,197,6985,0,2,0.8,141,100,back_to_front,3493.0,True,0.0
